epoch	train_logloss	val_logloss	train_error	val_error
0	0.4847	0.4893	0.1997	0.2012
1	0.4698	0.4780	0.1997	0.2012
2	0.4544	0.4645	0.1997	0.2012
3	0.4413	0.4529	0.1997	0.2012
4	0.4286	0.4419	0.1997	0.2012
5	0.4155	0.4302	0.1997	0.2012
6	0.4037	0.4204	0.1997	0.2012
7	0.3928	0.4116	0.1997	0.2012
8	0.3822	0.4018	0.1997	0.2012
9	0.3718	0.3936	0.1997	0.2012
10	0.3624	0.3863	0.1997	0.2012
11	0.3528	0.3790	0.1997	0.2012
12	0.3445	0.3720	0.1997	0.2012
13	0.3363	0.3646	0.1997	0.2012
14	0.3280	0.3585	0.1997	0.2012
15	0.3204	0.3518	0.1997	0.2012
16	0.3131	0.3459	0.1997	0.2012
17	0.3065	0.3405	0.1997	0.2012
18	0.2993	0.3338	0.1936	0.2012
19	0.2930	0.3289	0.1723	0.1890
20	0.2863	0.3238	0.1585	0.1768
21	0.2800	0.3186	0.1463	0.1646
22	0.2743	0.3135	0.1387	0.1585
23	0.2684	0.3088	0.1326	0.1524
24	0.2630	0.3045	0.1235	0.1402
25	0.2580	0.3004	0.1204	0.1280
26	0.2534	0.2966	0.1159	0.1220
27	0.2477	0.2920	0.1037	0.1220
28	0.2427	0.2885	0.1021	0.1220
29	0.2380	0.2853	0.1006	0.1220
30	0.2339	0.2818	0.0976	0.1220
31	0.2294	0.2791	0.0930	0.1159
32	0.2249	0.2761	0.0899	0.1098
33	0.2209	0.2735	0.0884	0.1098
34	0.2169	0.2705	0.0869	0.1098
35	0.2133	0.2675	0.0838	0.0976
36	0.2089	0.2643	0.0793	0.0976
37	0.2054	0.2620	0.0762	0.0976
38	0.2023	0.2611	0.0716	0.0915
39	0.1991	0.2587	0.0701	0.0915
40	0.1958	0.2563	0.0701	0.0976
41	0.1924	0.2539	0.0671	0.0915
42	0.1893	0.2523	0.0655	0.0915
43	0.1862	0.2506	0.0610	0.0915
44	0.1837	0.2486	0.0595	0.0854
45	0.1806	0.2459	0.0549	0.0854
46	0.1779	0.2442	0.0518	0.0854
47	0.1752	0.2422	0.0473	0.0854
48	0.1726	0.2410	0.0473	0.0854
49	0.1699	0.2390	0.0457	0.0793
50	0.1674	0.2374	0.0427	0.0793
51	0.1650	0.2353	0.0427	0.0793
52	0.1625	0.2338	0.0412	0.0793
53	0.1600	0.2330	0.0412	0.0793
54	0.1578	0.2312	0.0412	0.0793
55	0.1553	0.2300	0.0412	0.0793
56	0.1531	0.2285	0.0412	0.0793
57	0.1512	0.2275	0.0412	0.0793
58	0.1491	0.2264	0.0412	0.0793
59	0.1469	0.2250	0.0412	0.0793
60	0.1449	0.2238	0.0412	0.0793
61	0.1430	0.2228	0.0412	0.0793
62	0.1411	0.2213	0.0412	0.0793
63	0.1392	0.2203	0.0412	0.0793
64	0.1375	0.2191	0.0396	0.0793
65	0.1356	0.2181	0.0396	0.0793
66	0.1339	0.2171	0.0366	0.0793
67	0.1321	0.2169	0.0366	0.0793
68	0.1305	0.2159	0.0335	0.0793
69	0.1291	0.2145	0.0320	0.0793
70	0.1276	0.2136	0.0320	0.0732
71	0.1260	0.2124	0.0320	0.0732
72	0.1246	0.2117	0.0320	0.0732
73	0.1233	0.2117	0.0305	0.0732
74	0.1219	0.2107	0.0305	0.0732
75	0.1203	0.2098	0.0305	0.0732
76	0.1189	0.2089	0.0290	0.0732
77	0.1174	0.2089	0.0290	0.0732
78	0.1161	0.2085	0.0274	0.0732
79	0.1150	0.2079	0.0274	0.0732
80	0.1135	0.2069	0.0274	0.0732
81	0.1124	0.2061	0.0290	0.0732
82	0.1113	0.2053	0.0259	0.0732
83	0.1102	0.2049	0.0259	0.0732
84	0.1090	0.2046	0.0274	0.0732
85	0.1079	0.2036	0.0244	0.0732
86	0.1067	0.2033	0.0244	0.0732
87	0.1057	0.2034	0.0244	0.0732
88	0.1045	0.2026	0.0244	0.0732
89	0.1034	0.2022	0.0244	0.0732
