feature	importance
label	0.2817107874269445
thalach	0.0965018015679614
oldpeak	0.08282016928797994
chol	0.07358258382650922
ca	0.07180038086394794
age	0.0708711638703177
trestbps	0.06763751399449525
cp_4.0	0.04761428811315588
thal_7.0	0.04432854335283355
exang_1.0	0.03410274294230181
age_risk_score	0.025129073851526816
slope_2.0	0.020483960572497302
sex_1.0	0.017225197496752588
restecg_2.0	0.016398168255845988
fbs_1.0	0.015323003422947913
thal_6.0	0.011698087288916057
slope_3.0	0.008381637051399705
cp_3.0	0.007059282108384418
cp_2.0	0.004870001726373486
restecg_1.0	0.0024616129789083985
