feature	count	unique	top	freq	mean	std	min	25%	50%	75%	max
age	303.0				54.43894389438944	9.038662442446743	29.0	48.0	56.0	61.0	77.0
sex	303.0	2.0	1.0	206.0							
cp	303.0	4.0	4.0	144.0							
trestbps	303.0				131.68976897689768	17.599747729587687	94.0	120.0	130.0	140.0	200.0
chol	303.0				246.69306930693068	51.776917542637015	126.0	211.0	241.0	275.0	564.0
fbs	303.0	2.0	0.0	258.0							
restecg	303.0	3.0	0.0	151.0							
thalach	303.0				149.6072607260726	22.875003276980376	71.0	133.5	153.0	166.0	202.0
exang	303.0	2.0	0.0	204.0							
oldpeak	303.0				1.0396039603960396	1.161075022068634	0.0	0.0	0.8	1.6	6.2
slope	303.0	3.0	1.0	142.0							
ca	303.0				0.66996699669967	0.933193441311704	0.0	0.0	0.0	1.0	3.0
thal	303.0	3.0	3.0	167.0							
num	303.0				0.9372937293729373	1.2285356879701044	0.0	0.0	0.0	2.0	4.0
label	303.0				0.45874587458745875	0.4991195009875267	0.0	0.0	0.0	1.0	1.0
age_risk_score	303.0				0.45917491749174916	0.11950357762070896	0.17	0.3	0.51	0.51	0.59
